,Address.AddressLine1,Address.AddressLine2,Address.City,Address.County,Address.FormattedAddress,Address.PostalCode,Address.Subdivision,ID,Name,Store.StoreDistrictID,Store.StoreGroupID,Store.StoreRegionID,Store.AnnualSales,Store.OperatingExpenses,Store.CostOfGoodsSold,AllCapability,Latitude,Longitude
38,3200 Holcomb Bridge Rd,,Peachtree Corners,Gwinnett,"3200 Holcomb Bridge Rd, Peachtree Corners, GA 30092-3361",30092-3361,GA,982,Peachtree Corners,335,394,300,5808611,1649749,3615289,"['Beauty Concierge', 'Starbucks']",33.97,-84.23
39,2195 Hwy 20 SE,,Conyers,Rockdale,"2195 Hwy 20 SE, Conyers, GA 30013-2028",30013-2028,GA,2174,Conyers,346,394,300,5317310,1745090,2912682,"['CVS pharmacy', 'Cafe-Pizza', 'Fresh Grocery', 'Mobile Kiosk', 'Starbucks', 'Wine & Beer Available']",33.64,-83.97
40,6000 N Point Pkwy,,Alpharetta,Fulton,"6000 N Point Pkwy, Alpharetta, GA 30022-3006",30022-3006,GA,970,Alpharetta,335,394,300,5447961,1968583,2906935,"['Beauty Concierge', 'CVS pharmacy', 'Cafe-Pizza', 'Fresh Grocery', 'Mobile Kiosk', 'Starbucks', 'Wine & Beer Available']",34.02,-84.25
41,2022 Cumming Hwy,,Canton,Cherokee,"2022 Cumming Hwy, Canton, GA 30115-8071",30115-8071,GA,2476,Canton,334,394,300,5213593,1358844,3555926,"['Accepts WIC', 'Bakery', 'CVS pharmacy', 'Cafe-Pizza', 'Deli', 'Fresh Grocery', 'Mobile Kiosk', 'Optical', 'Starbucks', 'Super Target', 'Wine & Beer Available']",34.2,-84.4
42,5950 State Bridge Rd,,Duluth,Fulton,"5950 State Bridge Rd, Duluth, GA 30097-6438",30097-6438,GA,749,Riverwood,335,394,300,5063431,2299631,1819239,"['Beauty Concierge', 'CVS pharmacy', 'Cafe-Pizza', 'Fresh Grocery', 'Mobile Kiosk', 'Photo Lab', 'Starbucks', 'Wine & Beer Available']",34.02,-84.14
43,13055 Highway 9 N,,Milton,Fulton,"13055 Highway 9 N, Milton, GA 30004-5137",30004-5137,GA,2431,Milton,334,394,300,6511113,1542522,3538544,"['Accepts WIC', 'Bakery', 'CVS pharmacy', 'Cafe-Pizza', 'Deli', 'Fresh Grocery', 'Optical', 'Starbucks', 'Super Target', 'Wine & Beer Available']",34.14,-84.29
44,1905 Scenic Hwy N,,Snellville,Gwinnett,"1905 Scenic Hwy N, Snellville, GA 30078-5633",30078-5633,GA,917,Snellville,346,394,300,5604125,1511987,3155573,"['CVS pharmacy', 'Cafe-Pizza', 'Fresh Grocery', 'Mobile Kiosk', 'Starbucks']",33.86,-84.01
45,2625 Peachtree Pkwy,,Suwanee,Forsyth,"2625 Peachtree Pkwy, Suwanee, GA 30024-1048",30024-1048,GA,2056,John's Creek,335,394,300,6354050,2085906,2033529,"['Accepts WIC', 'Bakery', 'CVS pharmacy', 'Cafe-Pizza', 'Deli', 'Fresh Grocery', 'Mobile Kiosk', 'Optical', 'Photo Lab', 'Starbucks', 'Super Target', 'Wine & Beer Available']",34.07,-84.1
46,875 Lawrenceville Suwanee Rd,Ste 4000,Lawrenceville,Gwinnett,"875 Lawrenceville Suwanee Rd, Lawrenceville, GA 30043-8479",30043-8479,GA,747,Lawrenceville,346,394,300,7581595,2047825,3761273,"['Beauty Concierge', 'CafÈ', 'Starbucks']",34.01,-84.01
47,1525 Market Place Blvd,,Cumming,Forsyth,"1525 Market Place Blvd, Cumming, GA 30041-7935",30041-7935,GA,1394,Cumming,335,394,300,6316915,2448002,2453928,"['Accepts WIC', 'Bakery', 'CVS pharmacy', 'Cafe-Pizza', 'Deli', 'Fresh Grocery', 'Mobile Kiosk', 'Optical', 'Photo Lab', 'Starbucks', 'Super Target', 'Wine & Beer Available']",34.2,-84.1
48,3205 Woodward Crossing Blvd,Ste B,Buford,Gwinnett,"3205 Woodward Crossing Blvd, Buford, GA 30519-4938",30519-4938,GA,1206,Buford,346,394,300,5245845,1584335,2837944,"['CVS pharmacy', 'CafÈ', 'Fresh Grocery', 'Mobile Kiosk', 'Photo Lab']",34.09,-83.94
49,1901 13th Ave E,,Tuscaloosa,Tuscaloosa,"1901 13th Ave E, Tuscaloosa, AL 35404-4785",35404-4785,AL,1787,Tuscaloosa,340,394,300,8603173,1461358,3598249,"['Accepts WIC', 'Bakery', 'CVS pharmacy', 'Deli', 'Fresh Grocery', 'Mobile Kiosk', 'Optical', 'Photo Lab', 'Starbucks', 'Super Target', 'Wine & Beer Available']",33.22,-87.48
50,2929 Watson Blvd,,Warner Robins,Houston,"2929 Watson Blvd, Warner Robins, GA 31093-9600",31093-9600,GA,1380,Warner Robins,346,394,300,8797974,1998747,3110517,"['CVS pharmacy', 'CafÈ', 'Mobile Kiosk', 'Wine & Beer Available']",32.65,-83.65
51,916 Loganville Hwy,Ste 400,Bethlehem,Barrow,"916 Loganville Hwy, Bethlehem, GA 30620-2145",30620-2145,GA,2493,Winder,346,394,300,5542804,1716323,2932717,"['CVS pharmacy', 'Cafe-Pizza', 'Starbucks', 'Wine & Beer Available']",33.93,-83.75
52,5865 Spout Springs Rd,,Flowery Branch,Hall,"5865 Spout Springs Rd, Flowery Branch, GA 30542-3448",30542-3448,GA,2387,Flowery Branch,335,394,300,5889198,1731760,2638847,"['CVS pharmacy', 'Cafe-Pizza', 'Photo Lab', 'Starbucks', 'Wine & Beer Available']",34.17,-83.91
53,2750 Carl T Jones Dr SE,Ste 7,Huntsville,Madison,"2750 Carl T Jones Dr SE, Huntsville, AL 35802-4914",35802-4914,AL,1367,Huntsville South,369,394,300,7066274,1583560,2931694,"['Accepts WIC', 'Bakery', 'CVS pharmacy', 'CafÈ', 'Deli', 'Fresh Grocery', 'Mobile Kiosk', 'Optical', 'Photo Lab', 'Starbucks', 'Super Target', 'Wine & Beer Available']",34.66,-86.59
54,1235 Point Mallard Pkwy SE,,Decatur,Morgan,"1235 Point Mallard Pkwy SE, Decatur, AL 35601-6531",35601-6531,AL,2084,Decatur,369,394,300,7554654,2489164,2696012,"['CVS pharmacy', 'Cafe-Pizza', 'Mobile Kiosk', 'Starbucks', 'Wine & Beer Available']",34.61,-87.01
55,514 Shallowford Rd NW,,Gainesville,Hall,"514 Shallowford Rd NW, Gainesville, GA 30504-4154",30504-4154,GA,796,Gainesville,335,394,300,8089074,1258394,3326941,"['CafÈ', 'Starbucks']",34.27,-83.89
56,4601 Montgomery Hwy,Ste 300,Dothan,Houston,"4601 Montgomery Hwy, Dothan, AL 36303-1522",36303-1522,AL,1468,Dothan,348,393,300,5001703,2004543,1769091,"['CVS pharmacy', 'CafÈ', 'Fresh Grocery', 'Mobile Kiosk', 'Starbucks', 'Wine & Beer Available']",31.3,-85.4
57,6275 University Dr NW,,Huntsville,Madison,"6275 University Dr NW, Huntsville, AL 35806-1776",35806-1776,AL,1346,Huntsville West,369,394,300,5459562,1563604,2941827,"['Accepts WIC', 'Bakery', 'CVS pharmacy', 'CafÈ', 'Deli', 'Fresh Grocery', 'Mobile Kiosk', 'Optical', 'Photo Lab', 'Starbucks', 'Super Target', 'Wine & Beer Available']",34.75,-86.68
58,2721 Dawson Rd,,Albany,Dougherty,"2721 Dawson Rd, Albany, GA 31707-1672",31707-1672,GA,734,Albany,348,393,300,7981647,2291448,2081298,"['CafÈ', 'Fresh Grocery', 'Wine & Beer Available']",31.59,-84.21
59,8207 HIGHWAY 72 W,,Madison,Madison,"8207 HIGHWAY 72 W, Madison, AL 35758-9571",35758-9571,AL,2816,Madison,369,394,300,8212837,1622527,2556125,"['CVS pharmacy', 'CafÈ', 'Fresh Grocery', 'Mobile Kiosk', 'Photo Lab', 'Starbucks', 'Wine & Beer Available']",34.71,-86.74
60,1816 Gunbarrel Rd,,Chattanooga,Hamilton,"1816 Gunbarrel Rd, Chattanooga, TN 37421-3129",37421-3129,TN,1302,Chattanooga East,333,394,300,8401207,1525346,3617630,"['Beer Available', 'CVS pharmacy', 'CafÈ', 'Fresh Grocery', 'Mobile Kiosk']",35.03,-85.15
61,3065 Atlanta Hwy,,Athens,Clarke,"3065 Atlanta Hwy, Athens, GA 30606-3334",30606-3334,GA,1453,Athens,346,394,300,7175417,2366473,2898519,"['CVS pharmacy', 'Cafe-Pizza', 'Fresh Grocery', 'Mobile Kiosk', 'Optical', 'Photo Lab', 'Wine & Beer Available']",33.94,-83.44
62,5579 Highway 153,,Hixson,Hamilton,"5579 Highway 153, Hixson, TN 37343-3748",37343-3748,TN,2053,Chattanooga North,333,394,300,6064208,2150946,2833058,"['Beer Available', 'CVS pharmacy', 'Cafe-Pizza', 'Fresh Grocery', 'Mobile Kiosk', 'Starbucks']",35.17,-85.21
63,4570 Frontage Rd NW,,Cleveland,Bradley,"4570 Frontage Rd NW, Cleveland, TN 37312-2905",37312-2905,TN,2367,Cleveland,333,394,300,6167548,1909334,2035901,"['Beer Available', 'CVS pharmacy', 'Cafe-Pizza', 'Mobile Kiosk', 'Starbucks']",35.2,-84.9
64,372 Cox Creek Pkwy,,Florence,Lauderdale,"372 Cox Creek Pkwy, Florence, AL 35630-1540",35630-1540,AL,1322,Florence,369,394,300,7527896,2057985,3509124,"['CVS pharmacy', 'CafÈ', 'Mobile Kiosk', 'Wine & Beer Available']",34.83,-87.67
65,3519 Clemson Blvd,,Anderson,Anderson,"3519 Clemson Blvd, Anderson, SC 29621-1312",29621-1312,SC,1198,Anderson,337,395,300,8183785,1887741,2629025,"['Accepts WIC', 'CVS pharmacy', 'CafÈ', 'Fresh Grocery', 'Mobile Kiosk', 'Wine & Beer Available']",34.5,-82.6
66,3700 Bradfordville Rd,,Tallahassee,Leon,"3700 Bradfordville Rd, Tallahassee, FL 32309-1943",32309-1943,FL,1973,Tallahassee North,348,393,300,6700887,1522108,2049649,"['Accepts WIC', 'CVS pharmacy', 'Cafe-Pizza', 'Drive Up', 'Fresh Grocery', 'Mobile Kiosk', 'Starbucks', 'Wine & Beer Available']",30.6,-84.1
67,1851 Old Fort Pkwy,,Murfreesboro,Rutherford,"1851 Old Fort Pkwy, Murfreesboro, TN 37129-3364",37129-3364,TN,1126,Murfreesboro,333,394,300,8347820,1624821,3777829,"['CafÈ', 'Fresh Grocery', 'Mobile Kiosk', 'Starbucks']",35.9,-86.5
68,853 Harbor Blvd,,Destin,Okaloosa,"853 Harbor Blvd, Destin, FL 32541-2709",32541-2709,FL,2085,Destin,348,393,300,5680425,2252788,2053209,"['Accepts WIC', 'CVS pharmacy', 'Cafe-Pizza', 'Drive Up', 'Fresh Grocery', 'Mobile Kiosk', 'Starbucks', 'Wine & Beer Available']",30.4,-86.46
69,4727 Highway 90,,Pace,Santa Rosa,"4727 Highway 90, Pace, FL 32571-1403",32571-1403,FL,2279,Pace,359,393,300,6405561,1683741,2040826,"['Accepts WIC', 'CVS pharmacy', 'Cafe-Pizza', 'Drive Up', 'Fresh Grocery', 'Starbucks', 'Wine & Beer Available']",30.7,-87.2
70,1033 Crossings Blvd,,Spring Hill,Maury,"1033 Crossings Blvd, Spring Hill, TN 37174-2755",37174-2755,TN,2362,Spring Hill,369,394,300,5097167,1766270,1886919,"['Accepts WIC', 'Bakery', 'Beer Available', 'CVS pharmacy', 'Cafe-Pizza', 'Deli', 'Fresh Grocery', 'Mobile Kiosk', 'Optical', 'Photo Lab', 'Starbucks', 'Super Target']",35.7,-86.9
71,250 E Miracle Strip Pkwy,,Mary Esther,Okaloosa,"250 E Miracle Strip Pkwy, Mary Esther, FL 32569-1924",32569-1924,FL,740,Mary Esther,348,393,300,7302535,1012087,2384189,"['Accepts WIC', 'CVS pharmacy', 'CafÈ', 'Drive Up', 'Fresh Grocery', 'Mobile Kiosk', 'Starbucks', 'Wine & Beer Available']",30.46,-86.72
72,4223 Washington Rd,,Evans,Columbia,"4223 Washington Rd, Evans, GA 30809-3069",30809-3069,GA,2027,Evans,337,395,300,6307404,2168866,3923414,"['CVS pharmacy', 'Cafe-Pizza', 'Mobile Kiosk', 'Starbucks', 'Wine & Beer Available']",33.56,-82.16
73,15555 Starfish St,,Panama City Beach,Bay,"15555 Starfish St, Panama City Beach, FL 32413-2457",32413-2457,FL,2208,Pier Park,348,393,300,7550425,1635698,2102887,"['Accepts WIC', 'CVS pharmacy', 'Cafe-Pizza', 'Drive Up', 'Fresh Grocery', 'Mobile Kiosk', 'Starbucks', 'Wine & Beer Available']",30.3,-85.9
74,2120 Apalachee Pkwy,,Tallahassee,Leon,"2120 Apalachee Pkwy, Tallahassee, FL 32301-4819",32301-4819,FL,844,Tallahassee,348,393,300,8957939,2398883,2786760,"['Accepts WIC', 'CVS pharmacy', 'Cafe-Pizza', 'Drive Up', 'Fresh Grocery', 'Mobile Kiosk', 'Optical', 'Starbucks', 'Wine & Beer Available']",30.43,-84.26
75,800 Watkins Rd,,Maryville,Blount,"800 Watkins Rd, Maryville, TN 37801-4597",37801-4597,TN,1250,Maryville,351,395,300,8954146,1019141,2841932,"['Beer Available', 'CVS pharmacy', 'CafÈ', 'Mobile Kiosk', 'Optical']",35.7,-84.1
76,2340 Highway 77,,Panama City,Bay,"2340 Highway 77, Panama City, FL 32405-4404",32405-4404,FL,811,Panama City,348,393,300,5078056,1320583,3346096,"['Accepts WIC', 'CVS pharmacy', 'Cafe-Pizza', 'Drive Up', 'Fresh Grocery', 'Mobile Kiosk', 'Wine & Beer Available']",30.2,-85.67
77,235 Robert C Daniel Jr Pkwy,,Augusta,Richmond,"235 Robert C Daniel Jr Pkwy, Augusta, GA 30909-0800",30909-0800,GA,1090,Augusta,337,395,300,5311788,2261452,2944324,"['CVS pharmacy', 'Cafe-Pizza', 'Fresh Grocery', 'Mobile Kiosk', 'Optical', 'Starbucks']",33.48,-82.1
78,1749 E Nine Mile Rd,,Pensacola,Escambia,"1749 E Nine Mile Rd, Pensacola, FL 32514-5729",32514-5729,FL,1273,Pensacola NE,359,393,300,7385443,1444211,3842859,"['Accepts WIC', 'CVS pharmacy', 'CafÈ', 'Drive Up', 'Fresh Grocery', 'Mobile Kiosk', 'Starbucks', 'Wine & Beer Available']",30.55,-87.21
79,3064 Columbia Ave,,Franklin,Williamson,"3064 Columbia Ave, Franklin, TN 37064-7424",37064-7424,TN,1963,Franklin,369,394,300,7039451,2453166,3428871,"['Beer Available', 'CVS pharmacy', 'Cafe-Pizza', 'Fresh Grocery', 'Starbucks']",35.9,-87.0
80,803 Industrial Blvd,,Smyrna,Rutherford,"803 Industrial Blvd, Smyrna, TN 37167-6865",37167-6865,TN,2360,Smyrna,333,394,300,5244158,1391747,2801185,"['Accepts WIC', 'Bakery', 'Beer Available', 'CVS pharmacy', 'Cafe-Pizza', 'Deli', 'Fresh Grocery', 'Mobile Kiosk', 'Optical', 'Starbucks', 'Super Target']",36.0,-86.5
